COU,Country,MAREG,Macroregion,MIREG,Microregion,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,8.52437,,
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,25.97999,,
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,9.27688,,
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AUS,Australia,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.64911,,
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.68774,,
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,87.03754,,
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,14.65611,,
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
